team_id,category_id,category_rank,team_total_time,team_total_seconds,team_name,team_avg_time,team_avg_seconds
1,1,15,8:03:46,29026,Team Clearline,1:00:29,3629
2,1,16,8:14:03,29643,Smythe in the Fast Lane,1:01:46,3706
3,1,17,9:20:36,33636,Rolfe Benson,1:10:05,4205
4,1,18,10:21:49,37309,AFFINITY ACCOUNTANTS LLP,1:17:44,4664
5,1,19,11:46:02,42362,Loewen Kruse CPA,1:28:16,5296
6,2,6,8:07:52,29272,UNITE Partnerships,1:00:59,3659
7,2,7,8:31:41,30701,Pohl Strategic Marketing,1:03:58,3838
8,2,8,8:35:03,30903,Thinkingbox,1:04:23,3863
9,2,9,8:35:26,30926,OFFSIDE,1:04:26,3866
10,2,10,9:07:44,32864,Coastal Mountain Fuels,1:08:28,4108
11,2,11,9:15:40,33340,The Ice Cubes,1:09:28,4168
12,2,12,11:29:53,41393,CREATOR,1:26:15,5175
13,3,27,8:07:35,29255,PM Lions,1:00:57,3657
14,3,28,8:17:04,29824,BCIT School of Energy,1:02:08,3728
15,3,29,8:23:30,30210,JPCANADA,1:02:57,3777
16,3,30,8:23:49,30229,Chenko Studios,1:02:59,3779
17,3,31,8:23:54,30234,Maple Grove,1:03:00,3780
18,3,32,8:29:53,30593,Sundevils,1:03:45,3825
19,3,33,8:34:01,30841,UBC Faculty of Land and Food Systems,1:04:16,3856
20,3,34,8:42:43,31363,CHS RIDERS,1:05:21,3921
21,3,35,8:42:58,31378,CUPE 379,1:05:23,3923
22,3,36,8:49:07,31747,MKZ Dragons,1:06:09,3969
23,3,37,8:54:18,32058,BPM,1:06:48,4008
24,3,38,8:55:37,32137,Oxford International Vancouver,1:06:58,4018
25,3,39,8:56:45,32205,KPU,1:07:06,4026
26,3,40,8:57:06,32226,Vancouver Public Library Fast Reads,1:07:09,4029
27,3,41,9:13:17,33197,CIRA Arts High School,1:09:10,4150
28,3,42,9:16:03,33363,CEFA Early Learning,1:09:31,4171
29,3,43,9:26:16,33976,Bonaccord STARS,1:10:47,4247
30,3,44,9:31:18,34278,Indigenous Student Team (K xwusm- yakn),1:11:25,4285
31,3,45,9:40:20,34820,Pour Choices Club,1:12:33,4353
32,3,46,9:41:29,34889,Arts ISIT,1:12:42,4362
33,3,47,9:41:42,34902,MB Sanford Elementary,1:12:43,4363
34,3,48,9:55:52,35752,ONE STEP BEHIND SANDRA,1:14:29,4469
35,3,49,10:01:13,36073,Mechanics of Music,1:15:10,4510
36,3,50,10:07:59,36479,Mountainview Montessori,1:16:00,4560
37,3,51,10:08:45,36525,IE University Alumni,1:16:06,4566
38,3,52,10:11:09,36669,Moody Orcas,1:16:24,4584
39,3,53,10:14:58,36898,St. Paul School,1:16:53,4613
40,3,54,10:20:25,37225,Emily Carr University of Art + Design,1:17:34,4654
41,3,55,10:28:07,37687,the cheetah girls,1:18:31,4711
42,3,56,10:41:45,38505,Aatse Davie X-Country,1:20:14,4814
43,3,57,11:15:38,40538,Surrey Students Deserve Better,1:24:28,5068
44,3,58,11:26:59,41219,AUG to UAA,1:25:53,5153
45,3,59,11:28:02,41282,trust your talent,1:26:01,5161
46,3,60,11:52:16,42736,Relentless Wolves,1:29:02,5342
47,3,61,12:07:16,43636,TJ's & Tinker's,1:30:55,5455
48,3,62,12:16:49,44209,Soleful Spirits,1:32:07,5527
49,3,63,12:22:26,44546,VTech LeapFrog,1:32:49,5569
